Authors,Article Title,Source Title,Author Keywords,Keywords Plus,"Times Cited, WoS Core","Times Cited, All Databases",Publisher,Publisher City,Publication Year,DOI Link,Research Areas
"Wang, JL; Li, XD; Lu, XY; Fei, NB; Huang, W; Hu, Y",A Somatosensory ERP-BCI System for Post-Stroke Hand Function Rehabilitation Applications,IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT,Somatosensory; Electroencephalography; Hands; Headphones; Exoskeletons; Intent recognition; Wrist; Visualization; Transfer learning; Motors; Brain-computer interface (BCI); event-related potentials (ERPs); hand function rehabilitation; neural networks; poststroke; somatosensory stimulation,BRAIN-COMPUTER INTERFACE; EEG; TRANSFORMER; GENERATORS,0,0,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,2026,http://dx.doi.org/10.1109/TIM.2026.3652757,Engineering; Instruments & Instrumentation
"Proverbio, AM; Dishi, Y",ERP Signatures of Stimulus Choice in Gaze-Independent BCI Communication,APPLIED SCIENCES-BASEL,EEG; brain-computer interface; motor potential; motor preparation; P300 speller; locked-in syndrome; pictionary; augmented communication,BRAIN; EEG; POTENTIALS; ATTENTION; SPELLER; CORTEX; CNV,0,0,MDPI,BASEL,2025,http://dx.doi.org/10.3390/app152211888,Chemistry; Engineering; Materials Science; Physics
"Bonnin, M; Elizalde, S; Barboza, J; Brunetti, F",Brain-Computer Interface Towards Motor Rehabilitation,"CONVERGING CLINICAL AND ENGINEERING RESEARCH ON NEUROREHABILITATION V, ICNR 2024, VOL 1",,,0,0,SPRINGER INTERNATIONAL PUBLISHING AG,CHAM,2025,http://dx.doi.org/10.1007/978-3-031-77588-8_140,Engineering; Neurosciences & Neurology; Rehabilitation
"Kim, SH; Kim, SJ; Lee, DH",Neurophysiological Analysis in Motor and Sensory Cortices for Improving Motor Imagination,"2025 13TH INTERNATIONAL CONFERENCE ON BRAIN-COMPUTER INTERFACE, BCI",brain-computer interface; electroencephalogram; motor execution; motor imagery,EEG; BCI,0,0,IEEE,NEW YORK,2025,http://dx.doi.org/10.1109/BCI65088.2025.10931728,Computer Science; Neurosciences & Neurology
"Subramanian, A; Najafizadeh, L",DETECTING PAIN DURING COGNITIVE TASKS VIA VISIBILITY GRAPHS OF CORTICAL SIGNALS,"2025 IEEE 22ND INTERNATIONAL SYMPOSIUM ON BIOMEDICAL IMAGING, ISBI",Cognitive tasks; Pain; fNIRS; Visibility graphs; SVM,,0,0,IEEE,NEW YORK,2025,http://dx.doi.org/10.1109/ISBI60581.2025.10981165,"Computer Science; Engineering; Radiology, Nuclear Medicine & Medical Imaging"
"Mattei, E; Lozzi, D; Di Matteo, A; Cipriani, A; Manes, C; Placidi, G",MOVING: A Multi-Modal Dataset of EEG Signals and Virtual Glove Hand Tracking,SENSORS,BCI; EEG; virtual glove; EEGnetV4; dataset,MOTOR IMAGERY; CLASSIFICATION; RECOGNITION; FEATURES,0,1,MDPI,BASEL,2024,http://dx.doi.org/10.3390/s24165207,Chemistry; Engineering; Instruments & Instrumentation
"Taheri, M; Aske, AE; Tan, K",Developing a Serious Game for Acute Pain Detection by Utilizing Virtual Reality and Brain-Computer Interfaces,"PROCEEDINGS OF NINTH INTERNATIONAL CONGRESS ON INFORMATION AND COMMUNICATION TECHNOLOGY, VOL 5, ICICT 2024",BCI; VR; Pain; Acute pain; Game; Simulation,,0,0,SPRINGER-VERLAG SINGAPORE PTE LTD,SINGAPORE,2024,http://dx.doi.org/10.1007/978-981-97-3289-0_8,Computer Science; Telecommunications
"Yu, YC; Fisher, H; Busheska, A; Thompson, L; Gabel, L",A Hybrid BCI for Robotic Device Navigation,"2024 58TH ANNUAL CONFERENCE ON INFORMATION SCIENCES AND SYSTEMS, CISS",brain-computer interface; biomedical signal processing; feature extraction and classification,,0,0,IEEE,NEW YORK,2024,http://dx.doi.org/10.1109/CISS59072.2024.10480176,Computer Science
"Brantley, JA; Paek, AY; Steele, AG; Contreras-Vidal, JL",Brain-Machine Interfaces for Upper and Lower Limb Prostheses,HANDBOOK OF NEUROENGINEERING,Brain-machine interface; Neuroprosthetic; Amputee; Prosthetic limb; Brain-controlled prosthesis; Motor intent; Motor imagery; Sensory feedback; Embodiment; Phantom limb,TARGETED MUSCLE REINNERVATION; RUBBER HAND ILLUSION; PHANTOM LIMB; SENSORY FEEDBACK; MYOELECTRIC CONTROL; COMPUTER INTERFACE; MOTOR IMAGERY; CORTICAL REORGANIZATION; SOMATOSENSORY FEEDBACK; PAIN,0,0,SPRINGER-VERLAG SINGAPORE PTE LTD,SINGAPORE,2023,http://dx.doi.org/10.1007/978-981-16-5540-1_35,Engineering; Neurosciences & Neurology
"Lee, C; An, J",Deep BCI of Pain Decoding from fNIRS,HHAI 2023: AUGMENTING HUMAN INTELLECT,Deep BCI; Pain decoding; fNIRS; Thermal QST; LSTM,BRAIN-STIMULATION,0,0,IOS PRESS,AMSTERDAM,2023,http://dx.doi.org/10.3233/FAIA230112,Computer Science
"Rusanu, OA; Rosca, IC",A LabVIEW Application Implemented for Simulating the Working Principle of the Brain-Computer Interface,ARTIFICIAL INTELLIGENCE AND ONLINE ENGINEERING,Brain-computer interface; Electroencephalographic signal; LabVIEW simulation,,0,0,SPRINGER INTERNATIONAL PUBLISHING AG,CHAM,2023,http://dx.doi.org/10.1007/978-3-031-17091-1_63,Computer Science; Education & Educational Research; Engineering
"Subramanian, A; Najafizadeh, L",Hierarchical Classification Strategy for Mitigating the Impact of The Presence of Pain in fNIRS-based BCIs,"2023 45TH ANNUAL INTERNATIONAL CONFERENCE OF THE IEEE ENGINEERING IN MEDICINE & BIOLOGY SOCIETY, EMBC",,,0,0,IEEE,NEW YORK,2023,http://dx.doi.org/10.1109/EMBC40787.2023.10341152,Computer Science; Engineering
"Bruurmijn, LCM; Raemaekers, M; Branco, MP; Vansteensel, MJ; Ramsey, NF",Decoding attempted phantom hand movements from ipsilateral sensorimotor areas after amputation,JOURNAL OF NEURAL ENGINEERING,sensorimotor cortex; amputee; attempted movement; brain-computer interface; functional MRI; machine learning,BRAIN-COMPUTER INTERFACE; PRIMARY MOTOR CORTEX; SOMATOSENSORY CORTEX; CEREBRAL-CORTEX; NERVOUS-SYSTEM; REPRESENTATIONS; SOMATOTOPY; DENSITY; SIGNALS; PAIN,0,1,IOP PUBLISHING LTD,BRISTOL,2021,http://dx.doi.org/10.1088/1741-2552/ac20e4,Engineering; Neurosciences & Neurology
"Lebedev, MA; Ossadtchi, A",Bidirectional Neural Interfaces,BRAIN-COMPUTER INTERFACES HANDBOOK: TECHNOLOGICAL AND THEORETICAL ADVANCES,,BRAIN-COMPUTER-INTERFACE; FUNCTIONAL ELECTRICAL-STIMULATION; MACHINE INTERFACES; CORTICAL CONTROL; MOTOR-IMAGERY; ELECTROCORTICOGRAPHIC SIGNALS; MENTAL PROSTHESIS; ARTIFICIAL VISION; ARM MOVEMENTS; BODY SCHEMA,0,0,CRC PRESS-TAYLOR & FRANCIS GROUP,BOCA RATON,2018,,Computer Science; Engineering; Rehabilitation
"Casas, DM; Gentiletti, GG; Braidot, AA",Somatic and movement inductions phantom limb in non-amputees,"20TH ARGENTINEAN BIOENGINEERING SOCIETY CONGRESS (XX ARGENTINE BIOENGINEERING CONGRESS AND IX CONFERENCE OF CLINICAL ENGINEERING), (SABI 2015)",,PERIPHERAL NERVOUS-SYSTEM; BRAIN-COMPUTER INTERFACE; MOTOR IMAGERY; HANDS,0,0,IOP PUBLISHING LTD,BRISTOL,2016,http://dx.doi.org/10.1088/1742-6596/705/1/012062,Science & Technology - Other Topics
"Sylaidi, A; Lourenco, P; Nageshwaran, S; Lin, CH; Rodriguez, M; Festenstein, R; Faisal, AA",f2MOVE: fMRI-compatible haptic object manipulation system for closed-loop motor control studies,2015 7TH INTERNATIONAL IEEE/EMBS CONFERENCE ON NEURAL ENGINEERING (NER),,MOVEMENTS; PRINCIPLES; STATISTICS; DYNAMICS; ERRORS,0,0,IEEE,NEW YORK,2015,,Engineering; Neurosciences & Neurology
"Kaushik, A; Smart, O",An eLORETA EEG Analysis to Spatially Resolve Real and Imagined Neuromotor Control,2014 IEEE CONFERENCE ON COMPUTATIONAL INTELLIGENCE IN BIOINFORMATICS AND COMPUTATIONAL BIOLOGY,exact low resolution brain electromagnetic tomography; source localization; motor control; motor imagery; electroencephalography; brain networks; human; pattern classification; support vector machine; linear discriminant analysis; nearest-neighbor,MOTOR IMAGERY; RESEARCH RESOURCE; LORETA ANALYSIS; BRAIN; BCI; ARTIFACTS; PHYSIONET; REMOVAL,0,0,IEEE,NEW YORK,2014,,Computer Science; Mathematical & Computational Biology
"Shoureshi, RA; Aasted, CM",Wearable Hybrid Sensor Array for Motor Cortex Monitoring,WEARABLE/WIRELESS BODY SENSOR NETWORKS FOR HEALTHCARE APPLICATIONS,Electroencephalography; near-infrared spectroscopy; artificial limb control; neural network,,0,0,TRANS TECH PUBLICATIONS LTD,DURNTEN-ZURICH,2013,http://dx.doi.org/10.4028/www.scientific.net/AST.85.23,Engineering; Materials Science
"Roy, R; Konar, A; Tibarewala, DN; Janarthanan, R",EEG driven model predictive position control of an artificial limb using neural net,2012 THIRD INTERNATIONAL CONFERENCE ON COMPUTING COMMUNICATION & NETWORKING TECHNOLOGIES (ICCCNT),ain-computer interface (BeT); Electroenc ephalogram (EEG); wavelet coefficients; ANN (Artificial Neural Network); Backpropagation; State feedback PT controller,EVENT-RELATED DESYNCHRONIZATION; BRAIN-COMPUTER INTERFACE; COMMUNICATION; MOVEMENTS,0,0,IEEE,NEW YORK,2012,,Computer Science; Telecommunications
